"bullet","x","sd"
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",325,1.54396285216932
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",350,1.43242120322674
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",375,1.28171576782341
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",400,1.18077409253057
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",425,1.09343869359448
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",450,1.07100980718388
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",475,1.06755296135341
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",50,2.0508166508518
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",500,1.08870736271607
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",75,2.06988425350244
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",100,2.95458341049556
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",125,2.74381031719044
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",150,2.66313786671212
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",175,2.92424774226211
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",200,2.94008620847081
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",225,2.12055447587953
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",25,3.47563639198053
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",250,1.89522003961858
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",275,1.6953600009404
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",300,1.28310666345666
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",325,1.55555386428969
