"b2","b1","ccf","lag","D","sd.D","x1","x2","signature.length","matches.per.mm","mismatches.per.mm","cms.per.mm","cms2.per.mm","non_cms.per.mm","left_cms.per.mm","right_cms.per.mm","left_noncms.per.mm","right_noncms.per.mm","sumpeaks.per.mm","data","id.x","id.y","match","span"
"Ukn Bullet J-1","Br10 Bullet 1-6",0.268050359638578,-1010.9375,2.30570496625954,2.84992161374104,179.6875,120.3125,1.928125,1.55591572123177,56.0129659643436,1.03727714748784,0.518638573743922,24.8946515397083,0,0,22.3014586709887,24.8946515397083,2.64055708735752,"data-nist/unkn37-nist.RData",60,36,FALSE,1
"Ukn Bullet J-1","Br10 Bullet 1-5",0.337775360103333,-746.875,2.33588887361272,2.6638574039106,100,120.3125,1.928125,4.14910858995138,46.1588330632091,2.59319286871961,1.55591572123177,20.7455429497569,0,0,18.1523500810373,20.7455429497569,3.23788526782621,"data-nist/unkn37-nist.RData",59,36,FALSE,1
"Ukn Bullet J-1","Br6 Bullet 2-3",0.480478219101841,-28.125,2.24584652510929,2.96200719100298,179.6875,120.3125,1.928125,4.14910858995138,25.9319286871961,0.518638573743922,0.518638573743922,5.18638573743922,0,0,1.03727714748784,2.07455429497569,2.30247835104656,"data-nist/unkn37-nist.RData",30,36,FALSE,1
"Ukn Bullet J-1","Br6 Bullet 1-2",0.318723368481266,-351.5625,2.45960341639907,2.82608565525116,140.625,120.3125,1.928125,7.77957860615883,34.7487844408428,2.07455429497569,1.03727714748784,13.484602917342,0,0,8.81685575364668,13.484602917342,8.42647391601777,"data-nist/unkn37-nist.RData",26,36,FALSE,1
"Ukn Bullet J-1","Br1 Bullet 2-4",0.259433652103429,-817.1875,2.34445199828699,2.19447326645403,140.625,120.3125,1.928125,2.07455429497569,55.4943273905997,1.03727714748784,0.518638573743922,27.4878444084279,0,0,17.6337115072934,27.4878444084279,1.01926201263858,"data-nist/unkn37-nist.RData",2,36,FALSE,1
"Ukn Bullet J-1","Br2 Bullet 2-1",0.298332880632858,20.3125,2.49009035023489,2.70601619860099,120.3125,120.3125,1.928125,6.22366288492707,20.226904376013,2.07455429497569,1.03727714748784,7.77957860615883,0,0,0.518638573743922,3.11183144246353,5.46386989490009,"data-nist/unkn37-nist.RData",12,36,FALSE,1
"Ukn Bullet J-1","Br3 Bullet 2-4",0.255860511438831,664.0625,5.97225988714058,3.45056841089599,120.3125,120.3125,1.928125,0.518638573743922,45.1215559157212,0.518638573743922,0,30.5996758508914,0,0,14.5218800648298,30.5996758508914,0.39594280059141,"data-nist/unkn37-nist.RData",14,36,FALSE,1
"Ukn Bullet J-1","Br8 Bullet 1-5",0.397479743740808,739.0625,2.02844823242989,2.51745981098386,100,120.3125,1.928125,4.6677471636953,49.2706645056726,2.07455429497569,1.03727714748784,20.226904376013,0,0,20.226904376013,20.226904376013,5.13183254712433,"data-nist/unkn37-nist.RData",47,36,FALSE,1
"Ukn Bullet J-1","Br8 Bullet 1-3",0.562207232136829,-1010.9375,7.42680228576312,3.83589305280254,20.3125,120.3125,1.9171875,1.56479217603912,52.681336593317,0.52159739201304,0.52159739201304,23.9934800325998,0,0,20.3422982885086,23.9934800325998,0.869687116835614,"data-nist/unkn37-nist.RData",45,36,FALSE,1
"Ukn Bullet J-1","Br3 Bullet 2-6",0.410632187898258,517.1875,4.27207815709629,3.30284817545563,120.3125,120.3125,1.928125,1.03727714748784,46.1588330632091,1.03727714748784,0.518638573743922,28.0064829821718,0,0,18.1523500810373,28.0064829821718,0.288705826055443,"data-nist/unkn37-nist.RData",16,36,FALSE,1
"Ukn Bullet J-1","Br6 Bullet 1-3",0.338104816212684,176.5625,2.22318533712942,2.54763619640578,220.3125,120.3125,1.928125,6.74230145867099,25.4132901134522,2.07455429497569,1.03727714748784,5.70502431118314,0,0,3.63047001620746,5.70502431118314,5.84469047981109,"data-nist/unkn37-nist.RData",27,36,FALSE,1
"Ukn Bullet J-1","Br8 Bullet 2-3",0.400653258737159,818.75,22.1924906061207,5.19808455008616,220.3125,120.3125,1.928125,3.63047001620746,50.3079416531604,2.07455429497569,1.03727714748784,24.3760129659643,0,0,18.1523500810373,24.3760129659643,3.07173793896818,"data-nist/unkn37-nist.RData",45,36,FALSE,1
"Ukn Bullet J-1","Br2 Bullet 1-2",0.355790716874868,651.5625,2.65916131096692,2.84615280564402,159.375,120.3125,1.9015625,0.525883319638455,46.8036154478225,0.525883319638455,0.525883319638455,33.1306491372227,0,0,13.6729663105998,33.1306491372227,0.630101141943599,"data-nist/unkn37-nist.RData",8,36,FALSE,1
"Ukn Bullet J-1","Br5 Bullet 1-6",0.431165871806725,-345.3125,2.13753901591716,2.57063965858336,140.625,120.3125,1.928125,2.59319286871961,34.7487844408428,1.55591572123177,1.03727714748784,16.0777957860616,0,0,13.484602917342,16.0777957860616,2.54722277620086,"data-nist/unkn37-nist.RData",24,36,FALSE,1
"Ukn Bullet J-1","Br9 Bullet 1-1",0.337471480315796,-348.4375,3.88308440811251,3.12751589877364,200,120.3125,1.928125,5.18638573743922,33.192868719611,2.07455429497569,1.03727714748784,11.4100486223663,0,0,11.4100486223663,8.81685575364668,6.1405188771848,"data-nist/unkn37-nist.RData",49,36,FALSE,1
"Ukn Bullet J-1","Br4 Bullet 1-3",0.38766713359244,-628.125,2.32793385056181,2.29850559795659,59.375,120.3125,1.928125,4.14910858995138,42.5283630470016,1.55591572123177,0.518638573743922,18.1523500810373,0,0,15.0405186385737,18.1523500810373,5.4479700788861,"data-nist/unkn37-nist.RData",39,36,FALSE,1
"Ukn Bullet J-1","Br2 Bullet 2-4",0.354103987632942,-626.5625,2.62895573010863,2.57318241539244,179.6875,120.3125,1.928125,5.18638573743922,45.6401944894652,1.55591572123177,1.03727714748784,23.3387358184765,0,0,14.5218800648298,23.3387358184765,4.55111720534619,"data-nist/unkn37-nist.RData",9,36,FALSE,1
"Ukn Bullet J-1","Br7 Bullet 2-4",0.355980391140287,-1001.5625,2.55071289943602,2.73895641213378,100,120.3125,1.928125,3.63047001620746,54.9756888168558,3.11183144246353,1.55591572123177,25.9319286871961,0,0,24.8946515397083,25.9319286871961,1.57833830454091,"data-nist/unkn37-nist.RData",33,36,FALSE,1
"Ukn Bullet J-1","Br7 Bullet 2-1",0.64379040875745,-1010.9375,6.49635430975458,3.67882333132485,20.3125,120.3125,1.9171875,0.52159739201304,62.0700896495518,0.52159739201304,0.52159739201304,34.9470252648737,0,0,27.1230643846781,34.9470252648737,0.727092266053346,"data-nist/unkn37-nist.RData",36,36,TRUE,1
"Ukn Bullet J-1","Br7 Bullet 2-3",0.213704040704421,843.75,14.1573624231261,4.45823602490542,159.375,120.3125,1.928125,0,48.7520259319287,0,0,48.7520259319287,0,0,48.7520259319287,48.7520259319287,0,"data-nist/unkn37-nist.RData",32,36,FALSE,1
"Ukn Bullet J-1","Br7 Bullet 1-6",0.518812827651356,-1.5625,1.31207947623864,2.08213395762496,100,120.3125,1.928125,17.6337115072934,12.4473257698541,5.18638573743922,2.59319286871961,3.11183144246353,0,0,1.55591572123177,0.518638573743922,13.2738433129702,"data-nist/unkn37-nist.RData",36,36,TRUE,1
"Ukn Bullet J-1","Br7 Bullet 1-4",0.344819617927068,-12.5,3.00535293900077,2.96567299577997,120.3125,120.3125,1.928125,4.6677471636953,19.1896272285251,1.55591572123177,1.03727714748784,9.85413290113452,0.518638573743922,1.03727714748784,0,0,3.93164924300041,"data-nist/unkn37-nist.RData",34,36,FALSE,1
"Ukn Bullet J-1","Br9 Bullet 2-5",0.320875935964764,764.0625,2.71070826707298,2.6446923771964,100,120.3125,1.921875,1.04065040650407,46.8292682926829,0.520325203252033,0,23.9349593495935,0,0,19.2520325203252,23.9349593495935,1.23224224299493,"data-nist/unkn37-nist.RData",52,36,FALSE,1
"Ukn Bullet J-2","Br7 Bullet 2-1",0.556873444294793,-295.3125,5.33238225808868,3.98456216960645,20.3125,140.625,1.9171875,3.12958435207824,35.4686226568867,1.04319478402608,0.52159739201304,12.518337408313,0,0,9.38875305623472,12.518337408313,6.51066840458427,"data-nist/unkn38-nist.RData",36,31,FALSE,1
"Ukn Bullet J-2","Br10 Bullet 2-4",0.395628553125396,523.4375,2.21567442125363,3.0138156343371,120.3125,140.625,1.9375,1.54838709677419,28.3870967741935,0.516129032258065,0.516129032258065,9.80645161290323,0,0,8.7741935483871,9.80645161290323,1.07819031131461,"data-nist/unkn38-nist.RData",56,31,FALSE,1
"Ukn Bullet J-2","Br5 Bullet 2-2",0.334160961905701,379.6875,2.60561980537182,2.96158064705919,120.3125,140.625,1.940625,3.09178743961353,32.463768115942,1.03059581320451,0.515297906602254,12.3671497584541,0,0,12.3671497584541,8.24476650563607,3.71405236446277,"data-nist/unkn38-nist.RData",24,31,FALSE,1
"Ukn Bullet J-2","Br4 Bullet 2-2",0.497441252491514,-243.75,8.20802822471385,4.3177745608333,20.3125,140.625,1.940625,2.06119162640902,44.3156199677939,1.03059581320451,0.515297906602254,23.7037037037037,0,0,13.3977455716586,23.7037037037037,1.47664618064956,"data-nist/unkn38-nist.RData",42,31,FALSE,1
"Ukn Bullet J-2","Br4 Bullet 2-4",0.499282586993377,59.375,2.18567508818341,2.15528652747031,159.375,140.625,1.940625,5.15297906602254,21.6425120772947,1.54589371980676,1.03059581320451,6.18357487922705,0,0.515297906602254,6.18357487922705,0,5.25756999461187,"data-nist/unkn38-nist.RData",38,31,FALSE,1
"Ukn Bullet J-2","Br3 Bullet 1-3",0.614590548907593,-231.25,3.59068333560458,3.97228027632166,20.3125,140.625,1.7734375,5.07488986784141,31.5770925110132,2.25550660792952,1.12775330396476,12.4052863436123,0,0,12.4052863436123,7.8942731277533,4.04685916566117,"data-nist/unkn38-nist.RData",15,31,FALSE,1
"Ukn Bullet J-2","Br10 Bullet 2-2",0.227184418449388,-715.625,2.21762646306814,2.93913662582189,200,140.625,1.940625,1.54589371980676,39.6779388083736,1.03059581320451,0.515297906602254,20.6119162640902,0,0,20.6119162640902,18.5507246376812,1.82963850796731,"data-nist/unkn38-nist.RData",60,31,FALSE,1
"Ukn Bullet J-2","Br5 Bullet 1-5",0.204125860930006,992.1875,2.97641063588605,2.39471779852647,159.375,140.625,1.940625,3.09178743961353,46.3768115942029,1.54589371980676,0.515297906602254,20.0966183574879,0,0,19.5813204508857,20.0966183574879,3.65127419890314,"data-nist/unkn38-nist.RData",23,31,FALSE,1
"Ukn Bullet J-2","Br4 Bullet 1-5",0.389902467918292,467.1875,2.49807377874551,2.98429521367435,100,140.625,1.8953125,3.69332234130256,34.8227535037098,2.11046990931575,1.05523495465787,16.356141797197,0,0,13.1904369332234,16.356141797197,5.81761258693774,"data-nist/unkn38-nist.RData",41,31,FALSE,1
"Ukn Bullet J-2","Br3 Bullet 2-3",0.377978745875279,-406.25,2.89577110540691,2.76891650063899,179.6875,140.625,1.940625,3.09178743961353,36.0708534621578,1.03059581320451,0.515297906602254,12.8824476650564,0,0,8.76006441223833,12.8824476650564,6.50598006149083,"data-nist/unkn38-nist.RData",13,31,FALSE,1
"Ukn Bullet J-2","Br10 Bullet 1-2",0.546602936939256,-304.6875,6.00080721504522,4.20306276447659,20.3125,140.625,1.940625,1.03059581320451,42.7697262479871,0.515297906602254,0.515297906602254,18.5507246376812,0,0,12.8824476650564,18.5507246376812,0.86735262204884,"data-nist/unkn38-nist.RData",56,31,FALSE,1
